year,city,country,avg_temp,moving_average(last 5 years),year,,,,,year,avg_temp,moving average(last 5 years)
1796,Patna,India,24.99,,,,,,,1750,8.72,
1797,Patna,India,26.49,,,,,,,1751,7.98,
1798,Patna,India,24.27,,,,,,,1752,5.78,
1799,Patna,India,25.25,,,,,,,1753,8.39,
1800,Patna,India,25.2,25.24,1800,,,,,1754,8.47,7.868
1801,Patna,India,24.19,25.08,1801,,,,,1755,8.36,7.796
1802,Patna,India,25.64,24.91,1802,,,,,1756,8.85,7.97
1803,Patna,India,25.4,25.136,1803,,,,,1757,9.02,8.618
1804,Patna,India,25.72,25.23,1804,,,,,1758,6.74,8.288
1805,Patna,India,25.3,25.25,1805,,,,,1759,7.99,8.192
1806,Patna,India,25.21,25.454,1806,,,,,1760,7.19,7.958
1807,Patna,India,24.69,25.264,1807,,,,,1761,8.77,7.942
1808,Patna,India,25.26,25.236,1808,,,,,1762,8.61,7.86
1809,Patna,India,25.24,25.14,1809,,,,,1763,7.5,8.012
1810,Patna,India,25.14,25.108,1810,,,,,1764,8.4,8.094
1811,Patna,India,25.11,25.088,1811,,,,,1765,8.25,8.306
1812,Patna,India,25.09,25.168,1812,,,,,1766,8.41,8.234
1813,Patna,India,24.55,25.026,1813,,,,,1767,8.22,8.156
1814,Patna,India,23.8,24.738,1814,,,,,1768,6.78,8.012
1815,Patna,India,24.08,24.526,1815,,,,,1769,7.69,7.87
1816,Patna,India,23.81,24.266,1816,,,,,1770,7.69,7.758
1817,Patna,India,23.87,24.022,1817,,,,,1771,7.85,7.646
1818,Patna,India,24,23.912,1818,,,,,1772,8.19,7.64
1819,Patna,India,23.74,23.9,1819,,,,,1773,8.22,7.928
1820,Patna,India,24.02,23.888,1820,,,,,1774,8.77,8.144
1821,Patna,India,24.88,24.102,1821,,,,,1775,9.18,8.442
1822,Patna,India,25.04,24.336,1822,,,,,1776,8.3,8.532
1823,Patna,India,24.76,24.488,1823,,,,,1777,8.26,8.546
1824,Patna,India,25.31,24.802,1824,,,,,1778,8.54,8.61
1825,Patna,India,25.09,25.016,1825,,,,,1779,8.98,8.652
1826,Patna,India,25.12,25.064,1826,,,,,1780,9.43,8.702
1827,Patna,India,25.29,25.114,1827,,,,,1781,8.1,8.662
1828,Patna,India,24.9,25.142,1828,,,,,1782,7.9,8.59
1829,Patna,India,24.71,25.022,1829,,,,,1783,7.68,8.418
1830,Patna,India,25.01,25.006,1830,,,,,1784,7.86,8.194
1831,Patna,India,24.47,24.876,1831,,,,,1785,7.36,7.78
1832,Patna,India,24.76,24.77,1832,,,,,1786,8.26,7.812
1833,Patna,India,24.87,24.764,1833,,,,,1787,8.03,7.838
1834,Patna,India,24.71,24.764,1834,,,,,1788,8.45,7.992
1835,Patna,India,23.73,24.508,1835,,,,,1789,8.33,8.086
1836,Patna,India,24.65,24.544,1836,,,,,1790,7.98,8.21
1837,Patna,India,24.54,24.5,1837,,,,,1791,8.23,8.204
1838,Patna,India,24.5,24.426,1838,,,,,1792,8.09,8.216
1839,Patna,India,24.55,24.394,1839,,,,,1793,8.23,8.172
1840,Patna,India,24.86,24.62,1840,,,,,1794,8.53,8.212
1841,Patna,India,24.77,24.644,1841,,,,,1795,8.35,8.286
1842,Patna,India,24.7,24.676,1842,,,,,1796,8.27,8.294
1843,Patna,India,24.7,24.716,1843,,,,,1797,8.51,8.378
1844,Patna,India,24.32,24.67,1844,,,,,1798,8.67,8.466
1845,Patna,India,24.57,24.612,1845,,,,,1799,8.51,8.462
1846,Patna,India,24.87,24.632,1846,,,,,1800,8.48,8.488
1847,Patna,India,24.48,24.588,1847,,,,,1801,8.59,8.552
1848,Patna,India,24.37,24.522,1848,,,,,1802,8.58,8.566
1849,Patna,India,24.37,24.532,1849,,,,,1803,8.5,8.532
1850,Patna,India,24.9,24.598,1850,,,,,1804,8.84,8.598
1851,Patna,India,24.82,24.588,1851,,,,,1805,8.56,8.614
1852,Patna,India,24.56,24.604,1852,,,,,1806,8.43,8.582
1853,Patna,India,25.03,24.736,1853,,,,,1807,8.28,8.522
1854,Patna,India,25.06,24.874,1854,,,,,1808,7.63,8.348
1855,Patna,India,25.09,24.912,1855,,,,,1809,7.08,7.996
1856,Patna,India,23.91,24.73,1856,,,,,1810,6.92,7.668
1857,Patna,India,24.26,24.67,1857,,,,,1811,6.86,7.354
1858,Patna,India,24.86,24.636,1858,,,,,1812,7.05,7.108
1859,Patna,India,24.95,24.614,1859,,,,,1813,7.74,7.13
1860,Patna,India,24.66,24.528,1860,,,,,1814,7.59,7.232
1861,Patna,India,24.59,24.664,1861,,,,,1815,7.24,7.296
1862,Patna,India,24.66,24.744,1862,,,,,1816,6.94,7.312
1863,Patna,India,24.74,24.72,1863,,,,,1817,6.98,7.298
1864,Patna,India,24.72,24.674,1864,,,,,1818,7.83,7.316
1865,Patna,India,25.01,24.744,1865,,,,,1819,7.37,7.272
1866,Patna,India,25.11,24.848,1866,,,,,1820,7.62,7.348
1867,Patna,India,25.12,24.94,1867,,,,,1821,8.09,7.578
1868,Patna,India,24.79,24.95,1868,,,,,1822,8.19,7.82
1869,Patna,India,24.87,24.98,1869,,,,,1823,7.72,7.798
1870,Patna,India,24.81,24.94,1870,,,,,1824,8.55,8.034
1871,Patna,India,24.97,24.912,1871,,,,,1825,8.39,8.188
1872,Patna,India,24.95,24.878,1872,,,,,1826,8.36,8.242
1873,Patna,India,25.01,24.922,1873,,,,,1827,8.81,8.366
1874,Patna,India,24.85,24.918,1874,,,,,1828,8.17,8.456
1875,Patna,India,24.94,24.944,1875,,,,,1829,7.94,8.334
1876,Patna,India,25.01,24.952,1876,,,,,1830,8.52,8.36
1877,Patna,India,25.02,24.966,1877,,,,,1831,7.64,8.216
1878,Patna,India,25.4,25.044,1878,,,,,1832,7.45,7.944
1879,Patna,India,25.15,25.104,1879,,,,,1833,8.01,7.912
1880,Patna,India,24.96,25.108,1880,,,,,1834,8.15,7.954
1881,Patna,India,24.85,25.076,1881,,,,,1835,7.39,7.728
1882,Patna,India,24.92,25.056,1882,,,,,1836,7.7,7.74
1883,Patna,India,24.6,24.896,1883,,,,,1837,7.38,7.726
1884,Patna,India,24.59,24.784,1884,,,,,1838,7.51,7.626
1885,Patna,India,24.8,24.752,1885,,,,,1839,7.63,7.522
1886,Patna,India,25.04,24.79,1886,,,,,1840,7.8,7.604
1887,Patna,India,24.58,24.722,1887,,,,,1841,7.69,7.602
1888,Patna,India,24.94,24.79,1888,,,,,1842,8.02,7.73
1889,Patna,India,25.42,24.956,1889,,,,,1843,8.17,7.862
1890,Patna,India,24.89,24.974,1890,,,,,1844,7.65,7.866
1891,Patna,India,24.7,24.906,1891,,,,,1845,7.85,7.876
1892,Patna,India,25.27,25.044,1892,,,,,1846,8.55,8.048
1893,Patna,India,24.01,24.858,1893,,,,,1847,8.09,8.062
1894,Patna,India,25.2,24.814,1894,,,,,1848,7.98,8.024
1895,Patna,India,24.92,24.82,1895,,,,,1849,7.98,8.09
1896,Patna,India,25.66,25.012,1896,,,,,1850,7.9,8.1
1897,Patna,India,25.62,25.082,1897,,,,,1851,8.18,8.026
1898,Patna,India,25.27,25.334,1898,,,,,1852,8.1,8.028
1899,Patna,India,25.16,25.326,1899,,,,,1853,8.04,8.04
1900,Patna,India,25.47,25.436,1900,,,,,1854,8.21,8.086
1901,Patna,India,25.34,25.372,1901,,,,,1855,8.11,8.128
1902,Patna,India,25.47,25.342,1902,,,,,1856,8,8.092
1903,Patna,India,25.33,25.354,1903,,,,,1857,7.76,8.024
1904,Patna,India,25.07,25.336,1904,,,,,1858,8.1,8.036
1905,Patna,India,24.37,25.116,1905,,,,,1859,8.25,8.044
1906,Patna,India,25.25,25.098,1906,,,,,1860,7.96,8.014
1907,Patna,India,24.94,24.992,1907,,,,,1861,7.85,7.984
1908,Patna,India,25.39,25.004,1908,,,,,1862,7.56,7.944
1909,Patna,India,25.16,25.022,1909,,,,,1863,8.11,7.946
1910,Patna,India,25.02,25.152,1910,,,,,1864,7.98,7.892
1911,Patna,India,25.09,25.12,1911,,,,,1865,8.18,7.936
1912,Patna,India,25.11,25.154,1912,,,,,1866,8.29,8.024
1913,Patna,India,24.68,25.012,1913,,,,,1867,8.44,8.2
1914,Patna,India,25.03,24.986,1914,,,,,1868,8.25,8.228
1915,Patna,India,25.56,25.094,1915,,,,,1869,8.43,8.318
1916,Patna,India,25.19,25.114,1916,,,,,1870,8.2,8.322
1917,Patna,India,24.47,24.986,1917,,,,,1871,8.12,8.288
1918,Patna,India,24.74,24.998,1918,,,,,1872,8.19,8.238
1919,Patna,India,24.95,24.982,1919,,,,,1873,8.35,8.258
1920,Patna,India,25.34,24.938,1920,,,,,1874,8.43,8.258
1921,Patna,India,25.52,25.004,1921,,,,,1875,7.86,8.19
1922,Patna,India,25.12,25.134,1922,,,,,1876,8.08,8.182
1923,Patna,India,25.3,25.246,1923,,,,,1877,8.54,8.252
1924,Patna,India,25.6,25.376,1924,,,,,1878,8.83,8.348
1925,Patna,India,24.76,25.26,1925,,,,,1879,8.17,8.296
1926,Patna,India,25.02,25.16,1926,,,,,1880,8.12,8.348
1927,Patna,India,25.2,25.176,1927,,,,,1881,8.27,8.386
1928,Patna,India,25.55,25.226,1928,,,,,1882,8.13,8.304
1929,Patna,India,25.25,25.156,1929,,,,,1883,7.98,8.134
1930,Patna,India,25.13,25.23,1930,,,,,1884,7.77,8.054
1931,Patna,India,25.65,25.356,1931,,,,,1885,7.92,8.014
1932,Patna,India,25.54,25.424,1932,,,,,1886,7.95,7.95
1933,Patna,India,24.76,25.266,1933,,,,,1887,7.91,7.906
1934,Patna,India,25.2,25.256,1934,,,,,1888,8.09,7.928
1935,Patna,India,25.25,25.28,1935,,,,,1889,8.32,8.038
1936,Patna,India,24.99,25.148,1936,,,,,1890,7.97,8.048
1937,Patna,India,24.86,25.012,1937,,,,,1891,8.02,8.062
1938,Patna,India,25.27,25.114,1938,,,,,1892,8.07,8.094
1939,Patna,India,25.41,25.156,1939,,,,,1893,8.06,8.088
1940,Patna,India,25.26,25.158,1940,,,,,1894,8.16,8.056
1941,Patna,India,25.76,25.312,1941,,,,,1895,8.15,8.092
1942,Patna,India,25.6,25.46,1942,,,,,1896,8.21,8.13
1943,Patna,India,25.42,25.49,1943,,,,,1897,8.29,8.174
1944,Patna,India,25.17,25.442,1944,,,,,1898,8.18,8.198
1945,Patna,India,24.96,25.382,1945,,,,,1899,8.4,8.246
1946,Patna,India,25.19,25.268,1946,,,,,1900,8.5,8.316
1947,Patna,India,25.63,25.274,1947,,,,,1901,8.54,8.382
1948,Patna,India,25.49,25.288,1948,,,,,1902,8.3,8.384
1949,Patna,India,25.01,25.256,1949,,,,,1903,8.22,8.392
1950,Patna,India,25.06,25.276,1950,,,,,1904,8.09,8.33
1951,Patna,India,25.63,25.364,1951,,,,,1905,8.23,8.276
1952,Patna,India,25.65,25.368,1952,,,,,1906,8.38,8.244
1953,Patna,India,25.9,25.45,1953,,,,,1907,7.95,8.174
1954,Patna,India,25.52,25.552,1954,,,,,1908,8.19,8.168
1955,Patna,India,25.47,25.634,1955,,,,,1909,8.18,8.186
1956,Patna,India,25.22,25.552,1956,,,,,1910,8.22,8.184
1957,Patna,India,25.65,25.552,1957,,,,,1911,8.18,8.144
1958,Patna,India,26.33,25.638,1958,,,,,1912,8.17,8.188
1959,Patna,India,25.52,25.638,1959,,,,,1913,8.3,8.21
1960,Patna,India,25.69,25.682,1960,,,,,1914,8.59,8.292
1961,Patna,India,25.22,25.682,1961,,,,,1915,8.59,8.366
1962,Patna,India,25.2,25.592,1962,,,,,1916,8.23,8.376
1963,Patna,India,25.39,25.404,1963,,,,,1917,8.02,8.346
1964,Patna,India,25.45,25.39,1964,,,,,1918,8.13,8.312
1965,Patna,India,25.38,25.328,1965,,,,,1919,8.38,8.27
1966,Patna,India,26.07,25.498,1966,,,,,1920,8.36,8.224
1967,Patna,India,25.51,25.56,1967,,,,,1921,8.57,8.292
1968,Patna,India,25.11,25.504,1968,,,,,1922,8.41,8.37
1969,Patna,India,25.78,25.57,1969,,,,,1923,8.42,8.428
1970,Patna,India,25.44,25.582,1970,,,,,1924,8.51,8.454
1971,Patna,India,24.43,25.254,1971,,,,,1925,8.53,8.488
1972,Patna,India,25.41,25.234,1972,,,,,1926,8.73,8.52
1973,Patna,India,25.64,25.34,1973,,,,,1927,8.52,8.542
1974,Patna,India,25.53,25.29,1974,,,,,1928,8.63,8.584
1975,Patna,India,25.55,25.312,1975,,,,,1929,8.24,8.53
1976,Patna,India,25.58,25.542,1976,,,,,1930,8.63,8.55
1977,Patna,India,25.39,25.538,1977,,,,,1931,8.72,8.548
1978,Patna,India,25.03,25.416,1978,,,,,1932,8.71,8.586
1979,Patna,India,26.01,25.512,1979,,,,,1933,8.34,8.528
1980,Patna,India,25.75,25.552,1980,,,,,1934,8.63,8.606
1981,Patna,India,25.12,25.46,1981,,,,,1935,8.52,8.584
1982,Patna,India,25.37,25.456,1982,,,,,1936,8.55,8.55
1983,Patna,India,25.11,25.472,1983,,,,,1937,8.7,8.548
1984,Patna,India,25.27,25.324,1984,,,,,1938,8.86,8.652
1985,Patna,India,25.77,25.328,1985,,,,,1939,8.76,8.678
1986,Patna,India,25.4,25.384,1986,,,,,1940,8.76,8.726
1987,Patna,India,25.87,25.484,1987,,,,,1941,8.77,8.77
1988,Patna,India,25.97,25.656,1988,,,,,1942,8.73,8.776
1989,Patna,India,25.4,25.682,1989,,,,,1943,8.76,8.756
1990,Patna,India,25.44,25.616,1990,,,,,1944,8.85,8.774
1991,Patna,India,25.55,25.646,1991,,,,,1945,8.58,8.738
1992,Patna,India,25.58,25.588,1992,,,,,1946,8.68,8.72
1993,Patna,India,25.66,25.526,1993,,,,,1947,8.8,8.734
1994,Patna,India,25.71,25.588,1994,,,,,1948,8.75,8.732
1995,Patna,India,25.76,25.652,1995,,,,,1949,8.59,8.68
1996,Patna,India,25.75,25.692,1996,,,,,1950,8.37,8.638
1997,Patna,India,25.46,25.668,1997,,,,,1951,8.63,8.628
1998,Patna,India,25.87,25.71,1998,,,,,1952,8.64,8.596
1999,Patna,India,25.97,25.762,1999,,,,,1953,8.87,8.62
2000,Patna,India,25.58,25.726,2000,,,,,1954,8.56,8.614
2001,Patna,India,25.82,25.74,2001,,,,,1955,8.63,8.666
2002,Patna,India,26.06,25.86,2002,,,,,1956,8.28,8.596
2003,Patna,India,25.83,25.852,2003,,,,,1957,8.73,8.614
2004,Patna,India,25.69,25.796,2004,,,,,1958,8.77,8.594
2005,Patna,India,26.11,25.902,2005,,,,,1959,8.73,8.628
2006,Patna,India,26.13,25.964,2006,,,,,1960,8.58,8.618
2007,Patna,India,25.59,25.87,2007,,,,,1961,8.8,8.722
2008,Patna,India,25.56,25.816,2008,,,,,1962,8.75,8.726
2009,Patna,India,26.31,25.94,2009,,,,,1963,8.86,8.744
2010,Patna,India,26.54,26.026,2010,,,,,1964,8.41,8.68
2011,Patna,India,25.48,25.896,2011,,,,,1965,8.53,8.67
2012,Patna,India,25.98,25.974,2012,,,,,1966,8.6,8.63
2013,Patna,India,26.79,26.22,2013,,,,,1967,8.7,8.62
,,,,,,,,,,1968,8.52,8.552
,,,,,,,,,,1969,8.6,8.59
,,,,,,,,,,1970,8.7,8.624
,,,,,,,,,,1971,8.6,8.624
,,,,,,,,,,1972,8.5,8.584
,,,,,,,,,,1973,8.95,8.67
,,,,,,,,,,1974,8.47,8.644
,,,,,,,,,,1975,8.74,8.652
,,,,,,,,,,1976,8.35,8.602
,,,,,,,,,,1977,8.85,8.672
,,,,,,,,,,1978,8.69,8.62
,,,,,,,,,,1979,8.73,8.672
,,,,,,,,,,1980,8.98,8.72
,,,,,,,,,,1981,9.17,8.884
,,,,,,,,,,1982,8.64,8.842
,,,,,,,,,,1983,9.03,8.91
,,,,,,,,,,1984,8.69,8.902
,,,,,,,,,,1985,8.66,8.838
,,,,,,,,,,1986,8.83,8.77
,,,,,,,,,,1987,8.99,8.84
,,,,,,,,,,1988,9.2,8.874
,,,,,,,,,,1989,8.92,8.92
,,,,,,,,,,1990,9.23,9.034
,,,,,,,,,,1991,9.18,9.104
,,,,,,,,,,1992,8.84,9.074
,,,,,,,,,,1993,8.87,9.008
,,,,,,,,,,1994,9.04,9.032
,,,,,,,,,,1995,9.35,9.056
,,,,,,,,,,1996,9.04,9.028
,,,,,,,,,,1997,9.2,9.1
,,,,,,,,,,1998,9.52,9.23
,,,,,,,,,,1999,9.29,9.28
,,,,,,,,,,2000,9.2,9.25
,,,,,,,,,,2001,9.41,9.324
,,,,,,,,,,2002,9.57,9.398
,,,,,,,,,,2003,9.53,9.4
,,,,,,,,,,2004,9.32,9.406
,,,,,,,,,,2005,9.7,9.506
,,,,,,,,,,2006,9.53,9.53
,,,,,,,,,,2007,9.73,9.562
,,,,,,,,,,2008,9.43,9.542
,,,,,,,,,,2009,9.51,9.58
,,,,,,,,,,2010,9.7,9.58
,,,,,,,,,,2011,9.52,9.578
,,,,,,,,,,2012,9.51,9.534
,,,,,,,,,,2013,9.61,9.57
,,,,,,,,,,2014,9.57,9.582
,,,,,,,,,,2015,9.83,9.608
